Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,192.72926923503047,146.12805096999458,-,0.001,1753686350
Embedding Regression,channel_emb,2,130.00633438773778,110.19151594327843,-,0.001,1753686355
Embedding Regression,channel_emb,3,102.32912917759107,85.92598313870637,-,0.001,1753686362
Embedding Regression,channel_emb,4,88.36473666066709,76.76841486018637,-,0.001,1753686367
Embedding Regression,channel_emb,5,78.02204488671345,69.58420701648878,-,0.001,1753686372
Embedding Regression,channel_emb,6,71.28470590840216,64.09772030166958,-,0.001,1753686378
Embedding Regression,channel_emb,7,69.0896748252537,63.02911118839098,-,0.001,1753686383
Embedding Regression,channel_emb,8,65.8194926303366,62.276356292807534,-,0.001,1753686389
Embedding Regression,channel_emb,9,64.70653133806975,61.78165345606597,-,0.001,1753686394
Embedding Regression,channel_emb,10,64.11856116419253,60.47201291374538,-,0.001,1753686399
Embedding Regression,channel_emb,11,61.3341240675553,59.691976516143136,-,0.001,1753686406
Embedding Regression,channel_emb,12,58.105509509211004,58.980292807454646,-,0.001,1753686411
Embedding Regression,channel_emb,13,59.431772667428724,57.70603517864061,-,0.001,1753686416
Embedding Regression,channel_emb,14,56.64509323368902,57.74354536637016,-,0.001,1753686421
Embedding Regression,channel_emb,15,57.37972682455312,57.508905742479406,-,0.001,1753686426
Embedding Regression,channel_emb,16,55.12537578914476,57.410953635754794,-,0.001,1753686431
Embedding Regression,channel_emb,17,53.98717111089955,57.69992977639903,-,0.001,1753686437
Embedding Regression,channel_emb,18,54.360017880149506,57.205496570338376,-,0.001,1753686442
Embedding Regression,channel_emb,19,51.94759526460067,57.83414552522742,-,0.001,1753686447
Embedding Regression,channel_emb,20,52.0021912118663,56.88726887495621,-,0.0008,1753686453
